location,size,total_sqft,bath,balcony,price
Yelenahalli,2,1260,2,2,4788000
Kengeri Satellite Town,4,1200,3,0,11000000
Thigalarapalya,2,1418,2,2,10400000
anjananager magdi road,3,1200,3,1,16500000
Kasavanhalli,2,950,2,1,3900000
Nagarbhavi,2,1020,2,2,5500000
Electronic City Phase II,3,1400,2,2,4044000
Kodipalya,4,1440,4,0,8800000
Huskur,6,800,6,2,7500000
Electronics City Phase 1,2,1175,2,1,6900000
Raja Rajeshwari Nagar,2,1185,2,1,4017000
Aishwarya Crystal Layout,3,2250,3,1,11300000
Sarjapur  Road,2,1178,2,2,4043000
Ulsoor,4,36000,4,2,45000000
Whitefield,1,825,1,1,4490000
Madiwala,3,1250,3,2,4300000
Electronics City Phase 1,2,1113,2,2,5500000
2nd Block Jayanagar,3,1718,3,3,22300000
Gottigere,2,1010,2,1,3500000
Kanakpura Road,2,900,2,1,4100000
Syndicate Bank Colony,4,1500,4,3,24000000
Rayasandra,1,540,1,1,1650000
Electronic City,2,1020,2,2,2946000
Hosur Road,2,1194,2,1,7164000
Vijayanagar,8,1470,6,2,30000000
2nd Stage Nagarbhavi,3,600,4,2,10000000
Electronic City,2,1108,2,1,6715000
Hebbal,4,3895,2,1,45100000
Kanakpura Road,2,700,2,1,3499000
Somasundara Palya,3,1600,3,3,6800000
Nagarbhavi,3,1850,3,2,9000000
Tumkur Road,2,1250,2,2,3300000
Ramamurthy Nagar,1,600,1,1,4300000
Raja Rajeshwari Nagar,2,1140,2,1,4927000
CQAL Layout,3,1200,2,2,7500000
Nayandanahalli,2,985,2,1,5500000
Bellandur,2,982,2,2,5500000
9th Phase JP Nagar,1,600,1,0,2000000
Old Madras Road,3,2640,5,1,14200000
Akshaya Nagar,2,1314,2,2,6880000
Vijaya Bank Layout,3,1700,2,2,6850000
1st Phase JP Nagar,2,1077,2,2,9300000
Varanasi,5,2000,4,1,9900000
DUO Layout,3,1643,3,2,7500000
Kengeri,3,1200,3,1,6700000
Whitefield,2,1116,2,1,5191000
Abbigere,2,1020,2,1,4182000
Vittasandra,7,621,7,2,6400000
Daadys Gaarden Layout,3,1740,3,2,5500000
GM Palaya,2,1225,2,2,4700000
Thanisandra,3,1241,2,1,6100000
Hennur,2,1041,2,2,4060000
Bommanahalli,2,1050,2,2,4600000
Srinivas Colony,3,4400,3,1,90100000
Kanakpura Road,2,1309,2,3,6439000
Dodda Nekkundi,2,1128,2,2,4500000
Raja Rajeshwari Nagar,3,1430,2,1,5000000
Old Madras Road,2,1065,2,1,4786000
OMBR Layout,2,1085,2,1,6400000
Vishveshwarya Layout,1,750,1,1,3000000
Bellandur,2,981,2,2,3728000
Bhoganhalli,4,1548,4,1,12900000
Hebbal Kempapura,4,2302,4,2,30000000
Kalyan nagar,3,1410,2,2,6000000
Hosa Road,3,1526,3,1,11700000
Begur Road,2,1200,2,2,4260000
Sampangi Rama Nagar,2,1030,2,2,8000000
BTM 1st Stage,3,1852,2,2,9500000
Electronic City,2,1160,2,1,3350000
Jigani,2,918,2,1,4900000
Hebbal,3,1255,2,1,9000000
HRBR Layout,6,1200,6,3,25000000
JP Nagar,3,1150,2,2,4990000
Indira Nagar,3,2700,3,2,32400000
Moodalapalya,2,1150,2,2,6900000
Whitefield,2,1227,2,2,5349000
Hebbal,3,1255,3,2,7768000
Moodalapalya,6,840,8,0,12000000
Panathur,2,1198,2,1,8200000
 Devarachikkanahalli,3,1200,3,1,16000000
Nelamangala,4,2600,3,1,9500000
Thigalarapalya,3,2072,4,2,13900000
Pattandur Agrahara,2,797,2,1,3200000
Nayandanahalli,3,1350,2,3,6800000
Sahakara Nagar,4,2500,4,2,20000000
Thigalarapalya,3,2215,4,2,16000000
Kanakpura Road,1,525,1,1,3000000
Bannerghatta Road,4,2700,4,3,26000000
Gokaula Extension,3,1500,2,1,9000000
Subash Nagar,2,900,2,0,5500000
Poorna Pragna Layout,3,1355,2,3,5827000
Kudlu Gate,3,1465,2,2,4981000
Ramamurthy Nagar,2,1006,2,1,5700000
Vishveshwarya Layout,4,2000,4,1,7500000
Electronic City,2,1128,2,1,6570000
Pattanagere,2,850,2,0,3500000
ISRO Layout,3,1310,2,3,6800000
Banashankari,2,1390,2,2,8600000
Kathriguppe,3,1390,2,2,7645000
Marathahalli,4,2396,4,2,32500000
Electronic City,2,1170,2,1,3300000
Gottigere,3,1385,2,2,5000000
Old Madras Road,2,1160,2,1,4200000
Electronic City Phase II,2,1160,2,1,3350000
Bannerghatta Road,3,1200,2,2,6900000
Mahadevpura,2,1475,2,2,5500000
Sarjapur  Road,3,1939,3,0,9800000
7th Phase JP Nagar,2,850,2,2,4200000
Balagere,1,675,1,1,4500000
Electronic City,2,1060,2,1,5100000
Whitefield,2,1235,2,2,4700000
RTO ullalu,2,600,4,1,11000000
Austin Town,2,1250,2,1,6000000
Banashankari,2,1460,2,3,7000000
Akshaya Nagar,3,1690,3,2,8500000
Indira Nagar,1,850,1,2,5700000
Kanakpura Road,3,1843,3,2,8200000
7th Phase JP Nagar,3,1680,3,2,11700000
Kundalahalli,2,1047,2,1,8400000
8th Phase JP Nagar,2,1100,2,2,3500000
Indira Nagar,8,3250,8,1,60000000
Nagarbhavi,2,1120,2,3,5300000
Raja Rajeshwari Nagar,2,1095,2,2,3833000
Carmelaram,2,970,2,2,3500000
Bommanahalli,5,1200,7,2,12500000
Hosa Road,3,1100,2,3,8500000
Uttarahalli,3,1685,3,2,8500000
Doddanekundi,2,1148,2,1,5900000
Marathahalli,2,1050,2,1,6500000
Bannerghatta Road,3,1465,2,1,7600000
Kothanur,4,3401,5,2,23000000
Electronic City,1,630,1,1,6000000
7th Phase JP Nagar,3,1850,3,1,15000000
Vidyaranyapura,9,1200,9,2,17500000
Cottonpet,4,1750,2,1,22500000
Shikaripalya,3,1350,3,1,6000000
Sector 7 HSR Layout,3,1760,3,2,16000000
Rajaji Nagar,2,1440,2,2,18500000
Banashankari Stage III,2,1200,2,0,4200000
Hennur Bande,2,1100,2,1,7800000
Kaggadasapura,2,1140,2,2,4600000
Gottigere,2,1410,2,2,4500000
Mahadevpura,3,1434,2,1,6739000
"ravindra nagar, T.dasarahalli peenya",2,1180,2,2,7400000
Begur Road,2,1160,2,2,4200000
EPIP Zone,2,1343,2,2,8600000
LB Shastri Nagar,2,1184,2,1,6900000
Koramangala,3,2246,3,0,30000000
Rajankunte,3,4510,4,3,20000000
Banashankari Stage III,3,1305,2,1,5900000
Sarjapur  Road,4,3785,5,2,28000000
1st Block BEL Layout,3,1540,3,2,8500000
Kanakpura Road,3,1550,3,3,6511000
Yelahanka,3,1345,2,1,5700000
Electronic City Phase II,3,975,2,2,4500000
HSR Layout,2,1140,2,2,4600000
JP Nagar,2,1152,2,1,3456000
Old Airport Road,4,3200,4,2,70000000
Kodathi,3,1033,2,2,3150000
Richards Town,3,1800,3,0,23000000
Marathahalli,2,1102,2,2,5367000
Subramanyapura,3,1223,2,2,4281000
Kadugodi,3,1762,3,3,11200000
Kengeri Satellite Town,2,560,2,1,1660000
KR Puram,6,2000,6,0,8500000
Electronic City,3,1410,2,2,3800000
Thanisandra,3,1853,3,1,6486000
Kothanur,2,1455,2,2,6900000
Hebbal,2,1138,2,1,11000000
Sarjapur  Road,3,2556,3,2,16900000
TC Palaya,3,1200,2,0,6650000
Anantapura,2,1200,2,2,3700000
Anekal,2,1200,1,1,3600000
Whitefield,3,1870,3,2,13800000
Panathur,2,1199,2,1,8600000
Prakruthi Township,6,800,8,2,15000000
Doddakallasandra,3,1360,2,2,5440000
Babusapalaya,3,1230,3,3,5300000
Hosahalli Extension,3,2000,3,2,12000000
Kasturi Nagar,4,1200,4,2,25000000
Kundalahalli,2,1047,2,1,8300000
Electronic City Phase II,4,6000,4,2,26000000
Ramamurthy Nagar,2,1200,2,1,7600000
Kengeri,2,725,2,1,3000000
Jakkur,3,1645,3,1,10000000
Sultan Palaya,2,870,2,1,6500000
Marathahalli,2,1026,2,1,4995000
Bennigana Halli,3,2000,3,1,14500000
Cooke Town,2,1710,2,2,20000000
Hosur Road,3,1766,3,1,13000000
Makali,1,500,1,1,1500000
JP Nagar,2,1100,1,1,1500000
Jigani,3,1221,3,3,5200000
Rachenahalli,1,680,1,1,4600000
Sarjapur  Road,2,1278,2,2,9000000
Kodichikkanahalli,2,1025,2,2,6600000
Whitefield,2,1175,2,1,3900000
6th Phase JP Nagar,1,600,1,1,7500000
Seethappa Layout,2,850,2,1,4200000
Anjanapura,2,710,2,0,2500000
Huskur,2,1165,2,1,3364000
Sarjapur,1,625,1,1,1900000
Kaggadasapura,3,1340,3,1,6600000
Ananth Nagar,2,937,2,1,3500000
Lakkasandra,7,1500,6,0,21000000
JP Nagar,1,750,1,1,5250000
Shampura,3,1475,3,3,7800000
Singapura Village,4,2230,4,1,13000000
Jnanabharathi Layout,4,2200,5,1,10000000
Mysore Road,2,900,2,0,6500000
Electronic City Phase II,2,1116,2,2,3700000
Hoodi,2,948,2,1,7500000
R.T. Nagar,2,970,2,1,5500000
Akshayanagara East,3,1519,3,2,6723000
Thanisandra,3,1200,2,1,6500000
Bhoganhalli,3,1760,3,2,12700000
Whitefield,4,4400,5,3,52500000
Sahakara Nagar,3,1914,3,3,17900000
Budigere,3,1820,3,2,8550000
Budigere,3,1820,3,2,9300000
Kalena Agrahara,3,1565,3,2,7800000
Begur Road,2,1334,2,3,4269000
Sarakki Nagar,2,924,2,2,7623000
Jigani,2,914,2,2,4900000
Kengeri,1,500,1,1,1700000
Yelahanka,3,2145,3,3,12500000
Yelahanka,5,1200,5,2,16200000
Electronic City,3,1650,3,2,10000000
Marathahalli,4,3940,4,3,22000000
Electronic City,2,1020,2,1,2945000
Basaveshwara Nagar,2,1180,2,3,5800000
Ulsoor,2,1255,2,3,12000000
Langford Gardens,3,2777,5,2,65000000
Bommasandra,2,1014,2,1,3500000
Shampura,4,920,2,0,9000000
Attibele,2,695,1,1,2500000
Prithvi Layout,3,2273,4,3,22000000
GM Palaya,2,1140,2,2,4895000
Giri Nagar,6,3000,4,1,37500000
Whitefield,2,1180,2,2,4100000
Begur Road,4,2400,4,2,15200000
Attibele,2,850,1,1,2500000
Banashankari,2,1200,2,1,6000000
"Bellandur, ",4,3160,4,3,20600000
Hoodi,3,1769,3,3,9687000
Bhoganhalli,4,1554,4,1,13100000
Haralur Road,2,1243,2,2,4600000
2nd Block Jayanagar,4,4920,5,2,115000000
Mallasandra,2,905,2,1,4000000
Kothanur,1,627,1,1,3000000
Domlur,3,2180,3,2,28500000
Frazer Town,3,2400,3,2,26000000
Marathahalli,3,1435,3,1,7300000
Jakkur,4,3405,6,3,40000000
Kodihalli,3,1620,3,2,13000000
Whitefield,3,1862,3,2,12500000
Kaikondrahalli,2,674,1,1,1989999
Marathahalli,2,1220,2,1,5900000
Haralur Road,2,1027,2,2,4400000
Electronic City,2,1025,2,1,4900000
Thanisandra,3,1430,2,3,5450000
Panathur,2,1235,2,3,6500000
Electronics City Phase 1,3,1291,2,3,3200000
Kanakpura Road,3,1498,3,2,9500000
Sarjapur  Road,3,2180,3,2,24000000
Electronic City,2,1000,2,1,2970000
Ejipura,2,922,2,1,7000000
Victoria Layout,2,850,2,1,7200000
New Thippasandra,3,750,3,2,15500000
AECS Layout,2,1123,2,2,6400000
Raja Rajeshwari Nagar,2,1235,2,1,7500000
Kogilu,2,1250,2,1,5555000
Whitefield,4,2403,5,2,36000000
Sarjapur  Road,2,984,2,1,4591000
Sarjapur  Road,2,1305,2,1,9900000
Attur Layout,2,1200,1,0,6500000
1st Block HRBR Layout,3,600,3,1,9000000
Hebbal,4,2790,5,3,20400000
Old Madras Road,4,2010,3,2,12500000
Electronics City Phase 1,2,995,2,0,4200000
Varthur Road,2,1277,2,2,5900000
7th Phase JP Nagar,2,1236,2,2,6133000
Akshaya Nagar,2,1265,2,3,6700000
Kanakpura Road,1,525,2,2,2700000
Gubbalala,5,2570,4,2,14100000
Hennur Road,4,2400,5,3,39000000
Shikaripalya,3,1442,3,2,5624000
Ardendale,2,1224,2,2,7000000
Bellandur,2,1205,2,1,5900000
Richmond Town,2,1233,2,3,10000000
5th Block Hbr Layout,2,1312,2,3,6900000
Electronic City,3,1449,3,2,9000000
Yelenahalli,2,1090,2,1,5400000
Kaggadasapura,5,2100,5,0,15000000
Uttarahalli,3,1390,2,3,6255000
JP Nagar,2,1200,2,3,7800000
Mallasandra,4,600,2,2,5000000
BTM 2nd Stage,2,1000,2,2,5800000
Devanahalli,4,2400,5,2,19000000
Thanisandra,3,1732,3,1,8573000
Banashankari,2,1290,2,2,8000000
Marasandra,3,1840,3,3,8500000
Thanisandra,3,1917,4,2,10000000
Bhuvaneshwari Nagar,2,1100,2,2,5700000
Kudlu,3,1455,2,3,6000000
Old Airport Road,4,2774,4,3,20800000
Haralur Road,5,1200,5,2,25500000
 Devarachikkanahalli,3,1425,2,2,6500000
Whitefield,3,1655,3,1,11300000
Haralur Road,4,2805,5,3,16000000
R.T. Nagar,7,600,7,3,9300000
AGS Layout,2,1040,2,1,4679000
Akshaya Nagar,2,1126,2,1,5500000
Kodichikkanahalli,6,1600,4,1,20000000
Hebbal,2,1250,2,1,5555000
Yelahanka,4,1800,4,2,18000000
Kalkere Channasandra,2,1200,2,0,5300000
Ashirvad Colony,4,2050,3,1,10000000
Whitefield,1,530,1,1,2944000
Kambipura,2,883,2,1,3700000
Uttarahalli,3,1490,2,2,5960000
Ramagondanahalli,2,1295,2,2,9500000
Sompura,3,1275,3,1,5900000
Doddabanahalli,2,800,2,2,3000000
Devanahalli,1,1200,1,0,9500000
Bellandur,2,1063,2,1,5800000
Balagere,1,656,1,1,4300000
Shakthi Nagar,2,1125,2,2,3600000
Marathahalli,2,881,2,1,4806000
Nayandanahalli,9,1350,8,2,20000000
Bisuvanahalli,2,700,1,1,3200000
AGS Layout,3,1936,3,0,11000000
Hosa Road,3,1680,3,1,10100000
Rayasandra,2,1253,2,2,5700000
Rajaji Nagar,3,1640,3,3,23000000
Mysore Road,3,1082,3,2,5000000
Electronic City,2,1065,2,1,3075000
Iblur Village,3,2100,4,2,14500000
Electronic City,2,1070,2,1,5800000
Raja Rajeshwari Nagar,3,1280,3,2,5760000
6th block Koramangala,5,1200,5,2,30000000
Electronic City Phase II,2,1125,2,1,2925000
Sarjapur  Road,3,1755,3,2,12200000
Electronic City,2,1210,2,1,5400000
Talaghattapura,2,951,2,2,3043000
Electronic City,3,1500,2,1,7500000
Coffee Board Layout,3,1653,3,2,9000000
Yeshwanthpur,3,1381,2,2,7618000
Whitefield,2,1085,2,1,5700000
Whitefield,1,905,1,1,5000000
Hennur Road,3,1685,3,2,9500000
Somasundara Palya,2,1200,2,2,7500000
Anandapura,2,1151,2,1,4290000
Brookefield,4,3532,3,3,17000000
Kanakpura Road,3,1665,3,2,8691000
Kengeri Satellite Town,2,800,2,1,4000000
Chamrajpet,2,1050,2,1,16200000
Rajiv Nagar,2,1030,2,2,4650000
Hoodi,2,1257,2,1,7103000
Whitefield,3,1600,3,2,8200000
Choodasandra,3,1465,3,3,7500000
Jakkur,3,1650,3,2,11100000
Haralur Road,2,1243,2,2,4600000
Yelahanka New Town,2,680,1,1,8000000
Whitefield,4,1230,4,2,8000000
Koramangala,2,1300,2,2,8200000
KR Puram,2,1000,2,1,4450000
Mahadevpura,2,1146,2,1,5380000
Hennagara,6,1200,6,3,12000000
Indira Nagar,3,2601,4,2,31200000
Vishwanatha Nagenahalli,3,2159,3,2,11000000
Whitefield,2,1255,2,2,4000000
Hebbal Kempapura,2,1130,2,2,6000000
Padmanabhanagar,2,1200,2,1,6000000
Sarjapur  Road,2,1040,2,1,3700000
TC Palaya,8,1500,8,2,15000000
Byrathi Village,4,906,3,2,5500000
Uttarahalli,2,1180,2,1,4129999
Ullal Uppanagar,7,1200,7,2,16900000
Govindpura,6,850,7,2,10000000
KR Puram,2,1200,2,3,4700000
Sarjapur  Road,3,1374,3,2,5100000
Vidyaranyapura,9,4700,10,3,13000000
 south,3,2400,2,0,48000000
Haralur Road,2,1027,2,2,4400000
Ittamadu,5,1200,4,2,13000000
Jalahalli,3,2384,4,2,16500000
Electronic City,3,1033,2,2,2841000
Yelahanka,2,1200,2,1,5400000
Haralur Road,3,2017,3,2,10500000
Rainbow Drive,3,1500,3,2,13800000
Kamala Nagar,2,700,2,0,4300000
Shampura,6,1150,6,2,7500000
Kanakpura Road,3,1495,2,2,5233000
Kothanur,2,1302,2,1,6850000
Whitefield,1,905,1,1,5200000
Raja Rajeshwari Nagar,2,1303,2,1,5579000
Electronics City Phase 1,3,1350,3,0,7100000
Gottigere,3,1380,2,2,9500000
Harlur,3,1620,3,1,11000000
Chandapura,4,4800,4,3,25000000
Sarjapur  Road,2,1000,2,1,3850000
Ramamurthy Nagar,3,800,4,0,8800000
Thanisandra,2,1250,1,1,5400000
3rd Block Koramangala,3,1750,3,3,17000000
Anekal,3,997,3,2,5500000
Kothanur,3,1760,3,2,11100000
Yelahanka,2,1322,2,2,7500000
Kanaka Nagar,3,1365,3,0,9900000
Sahakara Nagar,3,1500,3,2,12500000
Kaggadasapura,3,1256,2,2,5000000
Brookefield,2,941,2,2,4800000
Devanahalli,4,5000,4,3,46500000
Kanakpura Road,3,1665,3,2,8658000
Hennur Road,2,1414,2,2,8418000
Chikkalasandra,3,1270,2,3,5525000
Madiwala,3,800,2,2,8000000
Kengeri Satellite Town,4,4100,3,0,30000000
Mathikere,6,1800,3,2,10500000
Pattanagere,2,850,2,0,3500000
Kanakpura Road,1,712,1,1,3844000
Basaveshwara Nagar Yelahanka,3,900,4,2,18000000
TC Palaya,2,900,2,0,5500000
Hebbal,2,1200,2,1,4900000
Kengeri Satellite Town,1,654,1,1,2200000
Peenya,2,708,1,1,5500000
Singapura Village,4,600,5,3,7500000
Wilson Garden,3,1680,3,3,13500000
Jakkasandra Extension,2,990,2,2,5800000
Uttarahalli,2,1380,2,1,4200000
Hebbal,2,1088,2,2,6200000
Harlur,3,1414,3,2,7750000
Seshadripuram,2,1240,2,1,10000000
Ganesha Block,3,1810,3,3,11800000
4th Block Jayanagar,3,2005,3,2,24000000
Kothanur,2,1185,2,2,5800000
Whitefield,3,1200,3,2,5715000
Electronic City,2,1070,2,1,5200000
Shikaripalya,2,1265,2,1,5800000
Sahakara Nagar,2,1100,2,1,5500000
Friends Colony,2,1035,2,2,4400000
2nd Block Jayanagar,2,1000,2,1,9700000
Hegde Nagar,2,1179,2,2,4935000
Vittasandra,3,1650,3,1,8400000
Malur Hosur Road,6,2800,4,3,10000000
Lakshmipura Vidyaanyapura,8,3500,6,2,12000000
Nagaraja Garden,3,1430,3,1,7865000
Marathahalli,3,1130,2,2,5800000
JP Nagar,3,1850,2,2,11000000
Hennur,3,1340,3,2,5424000
Nagawara Junction,2,600,2,0,3000000
Banashankari,3,2582,5,2,25000000
Channasandra,2,1160,2,1,5500000
Hegganahalli,1,1200,2,1,4500000
Rajanna Layout,2,1116,2,1,3760000
Nagarbhavi  BDA Complex,3,600,2,1,8500000
Sarakki Nagar,3,2663,4,1,33800000
Devasthanagalu,2,1090,2,2,4500000
JP Nagar,2,1100,2,1,4500000
Kammasandra,3,1365,2,1,3413000
Vijayanagar,3,1484,3,2,7919000
Green Glen Layout,3,1630,3,2,6800000
Whitefield,3,1451,2,2,5243000
Kanakpura Road,2,1330,2,1,10700000
Thanisandra,3,2127,3,2,13500000
Adityanagar,5,875,5,3,12000000
Hallehalli,4,1260,4,2,6500000
Sarjapur  Road,3,1173,2,2,4575000
Electronics City Phase 1,3,1445,2,1,5600000
Jayamahal Extension,4,2250,4,1,40000000
Bannerghatta Road,3,1500,4,2,23900000
JP Nagar,2,1197,2,1,4788000
2nd Stage Nagarbhavi,4,1200,4,1,22500000
Sarjapur  Road,5,3930,7,2,32900000
Kanakpura Road,3,1450,3,3,6240000
Whitefield,2,1187,2,1,3785000
Wilson Garden,6,4000,6,3,85000000
Channasandra,2,1050,2,2,4100000
Panathur,3,1370,2,2,5480000
Yelahanka,2,1036,2,2,3936999
JP Nagar,3,1275,3,2,4120000
Old Madras Road,4,2010,3,2,11500000
Thigalarapalya,2,1418,2,2,10600000
Thanisandra,2,1265,2,2,4660000
Anandapura,3,1576,3,2,5800000
Dodda Nekkundi,2,1148,2,1,5600000
Green View Layout,2,1000,2,1,3600000
Kudlu,3,1293,2,2,8500000
TC Palaya,3,1200,2,0,6600000
Munnekollal,2,1210,2,3,7500000
HSR Layout,2,1126,2,1,6900000
Sarakki Nagar,3,1840,4,1,17500000
Vidyaranyapura,3,1440,2,0,7000000
Ramamurthy Nagar,3,1300,2,2,5200000
Thanisandra,2,1276,2,2,7500000
Gidada Konnenahalli,6,600,4,2,10500000
Whitefield,2,1216,2,1,8300000
Marenahalli,1,840,1,0,7500000
Sector 1 HSR Layout,5,1240,5,3,30000000
Sompura,2,1126,2,2,3900000
Mysore Road,1,45,1,0,2300000
Raja Rajeshwari Nagar,2,1162,2,0,6500000
Whitefield,2,1301,2,2,6500000
Devanahalli,1,658,1,1,3400000
Sahakara Nagar,3,1350,3,1,25000000
Whitefield,3,2500,3,2,28000000
Chandapura,3,1209,3,2,4200000
Raja Rajeshwari Nagar,2,1133,2,2,3840999
Shettigere,3,1760,2,1,11600000
Bisuvanahalli,3,1075,2,1,5200000
Sarjapur,2,940,2,1,2538000
Badavala Nagar,2,1145,2,2,5700000
Rahat Bagh,4,3900,5,1,55000000
Dasarahalli,2,1300,2,2,5000000
Malleshwaram,3,2475,4,3,32600000
6th Phase JP Nagar,3,2040,3,2,20000000
Hosakerehalli,1,1200,1,0,15000000
Jigani,4,2420,4,1,19000000
Thubarahalli,2,1216,2,1,8000000
Tumkur Road,3,1459,2,1,11000000
Jakkur,3,1622,2,0,8000000
Kanakpura Road,3,1843,3,2,8500000
Badavala Nagar,2,1274,2,1,8100000
Chikkasandra,2,600,1,1,5200000
Malleshpalya,3,1430,2,1,6950000
Kammanahalli,4,1800,2,0,28000000
Begur Road,3,1565,2,2,5791000
 Devarabeesana Halli,3,1670,3,2,16000000
Lakshminarayana Pura,3,1695,3,2,15000000
Akshayanagara West,2,1410,2,2,7500000
Kengeri Satellite Town,2,1060,2,3,4200000
Sarjapur  Road,2,1120,2,2,5000000
Hosa Road,2,880,2,0,5000000
Jalahalli,2,1083,2,1,3249000
Dodda Nekkundi,3,1435,3,3,5720000
Doddakallasandra,3,1425,2,2,5699000
Arekere,2,900,2,3,5000000
Escorts Colony,5,2400,5,2,9300000
Thanisandra,1,693,1,1,3429999
Kengeri,3,600,3,1,9000000
Electronic City,4,2435,4,3,11900000
Iblur Village,3,1920,3,2,15000000
Electronic City,1,630,1,1,4700000
Bisuvanahalli,3,1075,2,1,5000000
Hulimavu,5,1200,5,0,10100000
Nagavarapalya,1,705,1,1,5500000
Srinivasa Nagar,3,1200,2,2,7559999
Mahadevpura,2,1532,2,2,6200000
Rajiv Nagar,2,1330,2,1,9300000
3rd Block Hrbr Layout,4,1200,3,1,21000000
Sarjapur  Road,3,1530,2,2,6000000
Kasavanhalli,2,1105,2,2,4200000
1st Phase JP Nagar,2,1566,2,0,18000000
Harlur,3,1630,3,1,9510000
5th Phase JP Nagar,2,1256,2,1,6280000
Banashankari,6,1200,6,2,18000000
Brookefield,3,1595,2,3,7500000
7th Phase JP Nagar,2,1000,2,2,5300000
Poorna Pragna Layout,3,1475,2,2,5899000
"asha township, off hennur road",5,2400,5,3,28500000
Electronic City Phase II,2,1000,2,1,2888000
1A Block Koramangala,4,2360,4,1,65000000
Uttarahalli,3,1737,2,3,9500000
Electronic City Phase II,2,1000,2,1,2888000
Near International Airport,4,2100,4,2,15000000
Hosakerehalli,8,3600,6,1,14500000
Mysore Road,2,883,2,1,5000000
Haralur Road,2,1243,2,2,4600000
BTM Layout,3,1776,2,3,7500000
Anjanapura,3,1347,2,1,3772000
Whitefield,3,1330,2,2,5500000
Sector 1 HSR Layout,2,600,2,1,12000000
Rajaji Nagar,4,3730,4,3,37000000
Harlur,3,1459,3,2,13500000
Thanisandra,4,2259,5,2,13500000
JP Nagar,7,2700,4,1,16000000
Gubbalala,2,1008,2,2,3225000
NTI Layout,2,1200,2,2,5250000
Vasanth nagar,4,2328,4,1,52800000
BTM 1st Stage,7,600,7,3,11000000
Electronic City,2,660,1,1,1550000
Rajaji Nagar,3,1800,2,2,25000000
Rajaji Nagar,4,3100,4,3,55000000
Yelahanka,1,602,1,1,2600000
Marathahalli,3,1710,3,2,10000000
JP Nagar,3,1500,2,3,8200000
Glass Factory Layout,3,1539,3,2,6000000
Fraser town,6,806,3,1,12800000
Judicial Layout,3,1100,2,1,5300000
Raja Rajeshwari Nagar,2,1151,2,1,4900000
Dasappa Layout,2,920,2,1,4600000
Kathriguppe,3,1350,3,3,7830000
Bannerghatta Road,2,1200,2,2,6500000
Thanisandra,2,1265,2,1,7800000
Chelekare,8,600,6,2,6000000
Sarjapur  Road,3,1700,3,2,9350000
Ramamurthy Nagar,3,1600,3,0,7500000
4th T block Jayanagar,4,1550,4,1,12000000
R.T. Nagar,3,1560,3,3,12500000
Horamavu Agara,6,1000,5,3,9800000
Haralur Road,2,1243,2,2,4600000
Raja Rajeshwari Nagar,4,1200,4,1,16000000
Sarjapur  Road,3,1403,3,1,5600000
Doddakallasandra,2,1010,2,1,4039000
Tumkur Road,3,1416,3,1,9400000
Kanakpura Road,2,1628,2,2,6800000
Chamrajpet,4,1660,4,2,21100000
7th Phase JP Nagar,3,1680,3,2,12500000
Doddathoguru,3,1595,3,3,6200000
Kanakpura Road,3,1507,2,3,9500000
Frazer Town,3,2560,3,2,28800000
Hennur Road,3,1949,3,1,13300000
BTM 2nd Stage,2,800,2,1,17500000
Electronic City Phase II,2,1000,2,1,2888000
Sonam Layout,2,905,2,1,5000000
Hosakerehalli,3,2480,3,2,24500000
CR Layout,3,1495,3,2,20000000
Kaikondrahalli,3,1605,3,3,10500000
Bommanahalli,2,1290,2,1,7300000
Yelahanka,2,1100,2,1,6000000
Vishveshwarya Layout,6,2100,6,0,9200000
Electronics City Phase 1,2,995,2,1,4980000
Banashankari Stage II,2,500,2,1,5500000
Rajaji Nagar,4,3526,4,3,59800000
Gottigere,3,1425,2,2,4700000
BTM 4th Stage,3,1455,2,2,5500000
Jalahalli West,1,550,1,1,2300000
Uttarahalli,3,1385,2,2,4848000
Vishveshwarya Layout,4,7000,4,2,21000000
Srinivasa Nagar,5,4000,3,0,13000000
Gollahalli,2,1060,2,1,5300000
AGS Layout,3,1080,2,2,7500000
HBR Layout,3,1783,3,2,12500000
Haralur Road,3,1520,2,2,9000000
Sarjapur  Road,2,1060,2,1,5500000
Raja Rajeshwari Nagar,2,1267,2,1,5435000
Whitefield,2,1155,2,2,5500000
Karuna Nagar,3,2500,3,2,18000000
Bannerghatta Road,2,1240,2,1,6500000
Gollahalli,3,1570,3,2,7800000
NGR Layout,2,1019,2,1,4590000
Whitefield,2,1355,3,3,7600000
Arekempanahalli,3,1537,3,2,11000000
Whitefield,4,4075,5,3,22600000
Raja Rajeshwari Nagar,3,1550,3,3,5245000
Raja Rajeshwari Nagar,2,1100,2,1,5000000
 Devarabeesana Halli,3,1750,3,2,15000000
9th Phase JP Nagar,2,1466,2,2,7100000
Rachenahalli,3,1550,3,2,7250000
Akshaya Nagar,3,2300,4,3,10200000
Kengeri,1,540,1,1,2250000
8th Phase JP Nagar,3,950,3,2,13000000
Chamundi Nagar,7,2800,7,1,25000000
Silk Board,2,1020,2,3,4800000
Cunningham Road,3,2880,3,2,50100000
Hebbal,3,1987,4,2,16500000
Hoodi,2,1305,2,1,7500000
Sarjapur,4,2100,3,1,12500000
Electronic City,2,1125,2,1,3250000
Horamavu Banaswadi,2,1225,2,2,4950000
